Time,Source,Destination,Protocol,Length,Info
1970-01-01 00:00:01.880367000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1311 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.880435000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1247 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.880500000,172.16.0.8,64.13.134.52,TCP,58,36051  >  14442 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.880568000,172.16.0.8,64.13.134.52,TCP,58,36051  >  7676 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.880635000,172.16.0.8,64.13.134.52,TCP,58,36051  >  33899 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.880700000,172.16.0.8,64.13.134.52,TCP,58,36051  >  4003 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.880771000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1067 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.880837000,172.16.0.8,64.13.134.52,TCP,58,36051  >  5903 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.880902000,172.16.0.8,64.13.134.52,TCP,58,36051  >  9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.880967000,172.16.0.8,64.13.134.52,TCP,58,36051  >  2005 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.881031000,172.16.0.8,64.13.134.52,TCP,58,36051  >  843 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.881099000,172.16.0.8,64.13.134.52,TCP,58,36051  >  2701 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.881163000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.881228000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1075 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.945355000,172.16.0.8,64.13.134.52,TCP,58,36051  >  9102 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.945441000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1296 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.945495000,172.16.0.8,64.13.134.52,TCP,58,36051  >  5101 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.945547000,172.16.0.8,64.13.134.52,TCP,58,36051  >  24 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.945599000,172.16.0.8,64.13.134.52,TCP,58,36051  >  52848 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.945651000,172.16.0.8,64.13.134.52,TCP,58,36051  >  15004 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.945703000,172.16.0.8,64.13.134.52,TCP,58,36051  >  32 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.945755000,172.16.0.8,64.13.134.52,TCP,58,36051  >  10626 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.945819000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1024 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.945883000,172.16.0.8,64.13.134.52,TCP,58,36051  >  5822 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.945947000,172.16.0.8,64.13.134.52,TCP,58,36051  >  7200 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.946012000,172.16.0.8,64.13.134.52,TCP,58,36051  >  1187 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.946076000,172.16.0.8,64.13.134.52,TCP,58,36051  >  3077 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.946141000,172.16.0.8,64.13.134.52,TCP,58,36051  >  3826 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.946208000,172.16.0.8,64.13.134.52,TCP,58,36051  >  8291 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.946277000,172.16.0.8,64.13.134.52,TCP,58,36050  >  5959 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
